text,label
"Hey there, just wanted to check if we're still on for lunch tomorrow? Let me know!","Safe"
"URGENT: Your account has been compromised. Please log in immediately at http://secure-login-update-now.com to secure your account. Failure to do so will result in suspension.","Phishing"
"Hi team, attached is the report for Q3. Please review and provide feedback by Friday. Best, John.","Safe"
"Congratulations! You have been selected to win a $1000 Walmart Gift Card. Click here: http://win-free-money-now.net/claim and enter your credit card details for shipping.","Phishing"
"Reminder: The weekly team meeting is at 10 AM in the main conference room. Don't forget your notes.","Safe"
"SECURITY ALERT: We detected unauthorized login attempts from Russia. Verify your identity at http://paypal-security-check.ru/verify or your account will be locked forever!","Phishing"
"Can you send me the latest version of the presentation? Thanks.","Safe"
"Dear Customer, your Apple ID has been locked for security reasons. To unlock it, please verify your details here: http://apple-support-unlocking.com","Phishing"
"Happy Birthday! Hope you have a fantastic day and we can celebrate this weekend.","Safe"
"You have 1 pending message from a secret admirer! Click the link to view your message: http://dating-meet-singles.biz/msg?id=12345","Phishing"
"Please find the invoice for this month's services attached. Let me know if you have any questions.","Safe"
"FINAL NOTICE: Your car's extended warranty is about to expire. Call us now at 1-800-SCAM-NOW or visit http://warranty-renew-fast.com to extend your coverage.","Phishing"
"Are we still meeting at the coffee shop at 3 PM?","Safe"
"Your package from Amazon could not be delivered. Please pay the $2.99 shipping fee to reschedule delivery: http://amazon-delivery-reschedule-fee.com","Phishing"
"I'll be out of office next week. Please contact Sarah for any urgent matters.","Safe"
"Win a brand new iPhone 15 Pro Max! Just complete this 1-minute survey and pay for shipping: http://free-iphone-survey-rewards.net","Phishing"
"Did you see the game last night? Crazy finish!","Safe"
"Your bank account needs verification. Please confirm your details to avoid account closure: http://chase-bank-verify-auth.com","Phishing"
"Let's schedule a call to discuss the new project timeline. What does your Thursday look like?","Safe"
"Exclusive Offer! Get 90% off all luxury watches. Limited time only. Shop now: http://cheap-luxury-watches-replica.com","Phishing"
